,front 0 x,front 0 y,front 0 z,front 1 x,front 1 y,front 1 z,init x,init y,init z,dist btw frts,crack len,linearity,max thickness,mean thickness,max_kink,abs_val_mean_kink,mean_kink,sum_kink,abs_val_sum_kink,avg_ori,angle_btw,height,phi,theta,coats_orientation,coats_linearity,suture to suture
117,122.4992988,19.33419282,59.90660845,137.0380208,48.15927984,94.69490551,128.1000061,30.82889938,85.22989655,47.46035915,35.99546799,0.790431886,4.296391201,2.787979032,90,9.586381476,-7.381515168,-120.3175592,157.3450383,38.01105327,45.98674001,3.4225,26,54,47.00629411,1.265131149,0
118,94.71346425,86.27036764,103.178177,134.0320227,44.69148172,93.71939819,120.4319992,56.22029877,107.1709976,58.00190767,77.97926356,0.967340758,5.279032359,2.598510644,18.66717542,4.803410471,0.483620496,10.44197982,155.9198466,46.8769054,54.53322145,3.43,35,284,62.74450006,1.03376188,1
119,80.80712464,70.62990471,99.66160883,166.878006,64.72779846,78.93959808,166.878006,64.72779846,78.93959808,88.7267333,61.2362926,0.841153239,5.61353295,2.977536486,53.11297715,5.406108486,-0.551235375,-70.02977923,395.6984747,29.94005196,0,3.4825,9,107,24.97902317,1.188844023,1
120,81.92545209,64.30189698,99.39829084,163.6404007,50.0895726,60.04637549,134.220993,45.93320084,96.01830292,91.80357415,57.05482053,0.962928002,5.573282029,2.594580723,25.14732809,4.986972426,-0.692689635,-49.26642011,333.3061068,45.93717866,176.3529152,3.4975,5,254,35.88687103,1.038499241,1
121,151.8617386,83.82488859,92.99898784,95.78667399,23.02288353,68.70705071,136.25,52.56269836,99.98709869,86.2055387,72.97571097,0.896972672,4.341257353,2.877483696,50.56946546,15.44408394,-0.119036382,3.565644437,203.3259537,95.79252224,151.083066,3.49,7,212,32.52257085,1.114861167,1
122,88.8912759,32.28795477,79.26274736,160.9868886,70.32830876,87.44636838,118.2409973,40.86050034,97.26059723,81.92568312,63.20175099,0.760910139,4.890705282,2.858436996,52.56335858,8.174522919,-0.918670605,-26.0167979,277.0809165,113.529624,137.6136319,3.5125,23,359,9.245719719,1.314215633,1
123,153.1999662,34.86602739,61.54484437,96.7395492,84.69340075,103.5983523,133.2749939,44.52470016,95.55989838,86.24988899,64.86010601,0.974392595,5.241901009,3.147779632,16.72442758,5.413436379,-1.933191547,-57.42061465,150.8648857,18.77392238,174.7723919,3.5425,4,89,63.67808318,1.026280377,1
124,115.1985737,18.96569767,60.64851119,104.783088,89.76754801,103.2039421,126.5660019,30.84770012,86.00009918,83.26072937,72.53822806,0.968625715,5.011091753,3.541913439,53.11297715,8.810824842,-1.632753362,-80.95114946,291.8305338,15.14899308,159.8852792,3.5575,22,20,72.01346374,1.032390514,1
125,152.6611382,34.32246177,60.96417899,104.4126765,87.80991276,103.6703269,133.2749939,44.52470016,95.55989838,83.74148634,74.20176143,0.970122292,5.021961547,3.163786796,17.72137414,5.253391115,-1.990707695,-69.53740927,158.7511472,16.15441721,177.2488456,3.55,5,356,69.21588989,1.030797878,1
126,144.3939909,39.29722107,84.37951348,125.1629172,55.97923689,103.750292,133.2749939,44.52470016,95.55989838,31.98985626,55.50454215,0.971670335,5.080976229,3.101650549,34.66946572,7.046567092,-2.31543428,-60.25801849,185.4641232,59.35418845,68.55027478,3.6175,3,110,66.09273636,1.029155634,1
127,149.7903128,31.7424765,59.12576708,85.12966919,50.17938865,94.98052965,133.2749939,44.52470016,95.55989838,76.20027928,55.61903111,0.968679908,5.579434474,2.979093273,30.13206091,8.456776607,3.73574378,100.6977062,242.8778617,33.6612178,145.2992036,3.61,10,277,43.0092012,1.032332757,1
128,118.454868,18.88932631,59.29790916,124.2281248,108.3257388,93.46052569,128.1000061,30.82889938,85.22989655,95.91291228,78.7413764,0.952450226,4.593186916,3.015728245,20.71221383,5.987430005,-0.922824549,-23.95267663,205.7160295,26.68427627,166.1150841,3.6625,19,26,68.54754835,1.049923632,1
129,107.7332606,19.11690879,60.89487372,148.4875862,91.40505313,92.38518017,139.125,59.77090073,101.7289963,88.7588321,72.86916042,0.905700506,4.285484858,3.050548894,17.17175558,3.736450392,-0.376769727,-8.672523608,135.4633592,43.55213659,174.3486182,3.67,21,226,46.23138253,1.104117745,1
130,88.51257642,34.18452745,81.33043398,166.878006,64.72779846,78.93959808,166.878006,64.72779846,78.93959808,84.1412387,68.12722041,0.889913218,5.258052436,3.093002792,24.15038152,5.15217013,-0.317535564,-11.11374473,180.3259546,58.82835545,0,3.7075,28,168,8.437003838,1.123705076,1
131,89.21928643,37.60672978,88.74212026,166.878006,64.72779846,78.93959808,166.878006,64.72779846,78.93959808,82.84031947,65.12086319,0.964595659,5.447929297,2.83907101,36.11374029,5.829434252,0.20900302,7.106102693,198.2007646,56.39568421,0,3.7225,7,105,3.305113653,1.036703816,1
132,85.60805756,51.47429379,95.80702115,122.5646795,19.61189923,61.7866814,128.3099976,36.98419952,92.13279724,59.48434757,63.02350565,0.956476833,5.582425611,3.271993286,89.94885472,9.049631002,4.726539311,175.6412172,308.8488536,44.13941511,134.1491323,3.7375,45,65,47.60691753,1.045503629,1
133,151.7453479,33.4787459,59.25100538,81.62796494,85.42412524,100.427975,133.2749939,44.52470016,95.55989838,96.48996146,60.23676692,0.964627248,5.456796244,2.886558125,37.60916013,7.316444004,2.072169086,61.04350769,195.3503812,19.66889833,177.3398724,3.73,25,111,59.4005324,1.036669866,1
134,91.52985591,26.49334114,73.20068833,162.3579392,69.20244847,85.99921688,109.4919968,31.17970085,89.26139832,83.69281669,59.28112705,0.865551774,4.313989898,2.548493716,34.17099244,6.184827593,2.344497527,65.52976723,194.0977082,92.93872582,114.8577284,3.7525,37,22,14.71684539,1.155332391,1
135,143.5382424,101.5925064,88.99199833,92.09449058,25.20712882,71.06193316,138.5700073,61.16740036,102.5230026,93.82255987,72.81591978,0.904279062,4.383748889,2.950767085,34.11984716,7.776636637,-1.76678346,14.97938463,243.6511442,81.1705864,176.0055763,3.7975,25,243,36.83871142,1.105853316,1
136,109.1286212,89.99424213,103.0130355,102.646233,19.36723349,59.87244902,124.2180023,60.51350021,106.9499969,83.01388983,95.57672384,0.948216984,4.858596291,3.382829435,31.18015275,3.859238261,-1.28158238,-39.88473878,177.0282432,11.02949373,168.0869869,3.79,32,262,67.53364502,1.054610935,1
137,83.62578047,55.30516612,97.02275022,145.3822035,97.01537558,91.39764083,136.2169952,56.70510101,102.3249969,74.734458,79.74577738,0.864064562,5.591079105,3.882561918,70.55954201,5.188884027,-1.938760571,-108.0221425,261.8709916,74.32620049,98.40608792,3.8425,21,265,36.52762756,1.157320927,1
138,89.40789415,35.70444246,86.05408385,147.5521017,95.76664349,90.60762186,138.0119934,55.54370117,100.6309967,83.7194814,68.43322843,0.891894796,4.791750703,3.244050545,36.66335885,6.739521171,-2.223386657,-96.1801572,257.8641225,121.1401528,154.6434493,3.85,14,190,23.40793293,1.12120847,1
139,88.82399873,32.2621547,78.92170258,166.878006,64.72779846,78.93959808,166.878006,64.72779846,78.93959808,84.5366571,72.13282437,0.85415521,5.139076769,2.962686023,60.59007638,8.780627197,-1.689395623,-62.50763804,324.8832063,60.66896184,0,3.8725,24,135,9.857289535,1.17074741,1
140,92.34253753,25.46962685,71.84176332,158.2573617,76.32091034,89.77552187,109.4919968,31.17970085,89.26139832,85.16006557,57.79887426,0.942762516,4.315930504,2.596751308,20.21374055,5.725453627,-2.252447846,-43.85954548,144.5893141,96.56617372,129.8255893,3.8875,32,17,21.39068305,1.060712516,1
141,142.5431687,103.1015899,89.28341881,89.44396127,34.24834444,83.71089976,140.151001,64.00250244,102.3919983,87.12834329,75.35517751,0.871974047,4.868384914,3.29043031,29.68473291,4.438404195,-1.687150248,-30.93130257,140.8122123,99.0107285,149.9662384,3.9175,22,220,28.97222191,1.146823123,1
142,157.1100468,39.23342447,59.62137078,110.269171,90.68984946,102.7947866,133.2749939,44.52470016,95.55989838,81.88879749,56.95002536,0.964927399,4.840839983,2.562846681,22.70610696,7.035230837,-2.052697321,-58.81374393,200.7633591,21.75053632,167.8198395,3.91,9,270,68.97892055,1.036347399,1
143,111.7038614,97.0274436,101.0850364,138.8421119,24.0941045,58.65092852,130.9230042,43.09329987,95.70220184,88.63639269,62.54169802,0.975190974,4.760561056,2.730551788,10.7427482,3.576430607,-0.589634513,-21.03206509,121.1099246,0.709309074,179.2570608,3.9325,35,103,84.70438534,1.025440172,1
144,124.3016229,108.4374525,93.40826815,138.1948372,23.903008,61.65104076,130.9230042,43.09329987,95.70220184,91.36528446,66.55665369,0.977243336,4.534159848,2.761404206,17.22290086,3.906250208,-0.799880941,-30.77786672,134.7412219,21.4686532,166.6899233,3.9625,30,101,76.57544894,1.023286589,1
145,87.09673905,41.65326121,90.73038017,153.2839731,83.30801,92.33511667,138.0119934,55.54370117,100.6309967,78.22047828,67.73899637,0.891831423,5.436983381,3.085096534,37.16183213,5.911511464,-1.291694777,-63.45343932,223.7954206,113.4656681,155.2720388,3.9775,15,240,19.80534412,1.121288143,1
146,119.0177392,19.12389943,60.7680154,113.1057695,95.78919244,101.438118,127.9089966,32.45560074,88.1414032,86.98606659,72.56137982,0.965574672,4.950255319,3.282100546,21.15954183,4.837452826,-0.096237436,1.022132745,166.0938934,14.11529264,168.9412816,3.97,13,25,76.10859713,1.035652683,1
