,front 0 x,front 0 y,front 0 z,front 1 x,front 1 y,front 1 z,init x,init y,init z,dist btw frts,crack len,linearity,height,phi,theta
0,157.87315149087502,40.18235972795,59.2989995183375,133.27499389648438,44.52470016479492,95.55989837646484,133.27499389648438,44.52470016479492,95.55989837646484,44.031557586659105,145.96054350153997,0.405577397508839,1.5,0.0,0.0
1,111.38764492992858,70.29408290866427,105.41141689692857,128.3419952392578,41.92559814453125,95.62139892578125,128.3419952392578,41.92559814453125,95.62139892578125,34.46832421368475,144.27321758222254,0.42726158944047893,1.5,15.0,0.0
2,133.6617551479091,51.11142966115454,97.84140586890908,141.47900390625,64.11219787597656,101.58599853515625,141.47900390625,64.11219787597656,101.58599853515625,15.625342446212851,69.9672662278136,0.1757090554626299,1.5,30.0,230.0
3,127.70583942383332,55.13175265536666,102.76391023966666,124.21800231933594,60.51350021362305,106.94999694824219,124.21800231933594,60.51350021362305,106.94999694824219,7.658429106547896,98.93439795804804,0.0778071814295852,1.5,30.0,270.0
4,155.28740608566667,37.022956903949996,61.21203866846667,131.2259979248047,46.89059829711914,98.45909881591797,131.2259979248047,46.89059829711914,98.45909881591797,45.42758191864977,150.7852081977004,0.37991645449181305,1.5,40.0,20.0
5,135.20836093545452,57.22968769858182,100.87577598424545,139.58799743652344,78.64969635009766,101.65299987792969,139.58799743652344,78.64969635009766,101.65299987792969,21.876975647776867,58.04270802140679,0.3797623529885225,1.5,45.0,250.0
6,133.43111677261538,57.96462579246155,101.926315281,138.8419952392578,80.11219787597656,101.72100067138672,138.8419952392578,80.11219787597656,101.72100067138672,22.79988397041066,59.17382488507825,0.38523059449580715,1.5,50.0,250.0
7,128.49486089908333,53.866537202875,101.97959946191668,119.37300109863281,76.8635025024414,107.947998046875,119.37300109863281,76.8635025024414,107.947998046875,25.449764652693137,63.67004289742643,0.40595350719334256,1.5,50.0,260.0
8,116.4629211598889,19.039861282222223,60.92037329828889,130.92300415039062,43.093299865722656,95.70220184326172,130.92300415039062,43.093299865722656,95.70220184326172,44.69270079906015,138.40299279586296,0.2551844207257487,1.5,55.0,290.0
9,132.277128603875,44.1590390612625,93.998725733025,129.66736588799998,47.85478696695,97.049840952575,133.27499389648438,44.52470016479492,95.55989837646484,5.456988006083086,8.259273562098791,0.8442406887052051,1.0,0.0,0.0
10,113.97117237327271,23.25932946708182,73.1314398741,166.8780059814453,64.72779846191406,78.9395980834961,166.8780059814453,64.72779846191406,78.9395980834961,67.47222884271424,128.82353535792674,0.4021375193431891,1.0,15.0,135.0
11,139.1532551822222,48.99955645363333,94.40262498885556,166.8780059814453,64.72779846191406,78.9395980834961,166.8780059814453,64.72779846191406,78.9395980834961,35.428020049474114,39.420145986666036,0.8773910279342231,1.0,15.0,180.0
