,RPA nodes x,RPA nodes y,RPA nodes z
149,137.738998,34.2832985,83.5155029
150,96.2460022,58.1327019,102.864998
151,110.967003,23.5583,74.9292984
152,109.059998,85.7561035,104.044998
153,110.055,85.0510025,104.188004
154,155.634003,81.5512009,91.2500992
155,124.250999,72.9498978,104.487
156,146.029007,77.3264999,96.3099976
157,154.453003,82.7782974,91.8491974
158,135.132004,66.0863037,102.919998
159,143.264999,26.8369999,61.8195992
160,145.738998,71.2974014,96.8565979
161,97.803299,62.678299,103.727997
162,118.222,32.2723999,88.1023026
163,111.093002,24.7035007,74.1467972
164,143.860001,67.4557037,98.4291
165,84.5968018,86.2966003,101.324997
166,123.987999,104.954002,95.1091003
167,124.250999,103.603996,95.5929031
168,129.084,98.634697,94.6190033
169,129.852005,100.195999,93.8019028
170,142.759003,41.1750984,87.9026031
171,81.6246033,71.4375,99.8524017
172,119.002998,19.6881008,62.8457985
173,132.886993,32.9715004,84.3189011
174,75.9990997,86.3675003,98.6271973
175,117.888,102.796997,96.8703995
176,97.3312988,21.1779003,64.7794037
177,84.1517029,84.1765976,101.051003
178,84.1919022,85.142601,101.311996
179,87.5908966,79.9613037,101.935997
180,88.8694992,80.3468018,102.250999
181,134.938004,22.3780003,59.2154999
182,146.529007,81.1638031,95.819603
183,147.147003,78.4095001,95.6707001
184,90.0702972,51.9928017,98.1306992
185,91.0494003,51.9138985,98.5279007
186,132.686996,47.3424988,96.5967026
187,130.291,86.822197,101.116997
188,112.212997,40.3213997,94.7593002
189,125.789001,32.9407005,86.7437973
190,127.208,32.8810997,86.7649994
191,131.908005,70.3339005,103.959999
192,144.639008,73.6561966,97.928299
193,129.988007,31.3994007,83.3421021
194,129.692993,82.0289993,102.686996
195,130.352005,80.2321014,102.982002
196,100.497002,63.4912987,103.488998
197,93.7761002,36.3611984,89.8284988
198,99.9052963,35.0644989,89.6183014
199,131.388,68.7799988,104.059998
200,129.397995,30.4071999,82.1104965
201,99.0515976,38.8279991,92.6427002
202,125.649002,104.015999,93.5224991
203,125.530998,103.804001,94.9828033
204,127.306,103.869003,94.2987976
205,142.936005,70.0445023,99.5663986
206,143.335007,68.7505035,98.9044037
207,129.296005,61.8960991,103.745003
208,128.037994,62.2770004,104.611
209,123.878998,65.5111008,105.810997
210,118.778999,21.0405006,67.3886032
211,96.6546021,50.6316986,99.7680969
212,97.3964005,51.8266983,98.6710968
213,155.817001,75.875,91.2182007
214,127.039001,92.7643967,99.7761993
215,131.078003,63.5489006,103.945
216,93.4916,57.0367012,100.403
217,130.287003,78.9064026,103.235001
218,129.296997,77.947197,103.624001
219,131.804001,79.4725037,102.762001
220,131.253998,77.5280991,103.327003
221,108.198997,29.5820007,83.2209015
222,95.6082001,35.4121017,89.3704987
223,122.348,102.084999,95.2310028
224,122.279999,103.114998,95.0851974
225,123.259003,102.184998,96.5975037
226,121.887001,103.237999,96.739502
227,113.676003,82.677002,105.126999
228,128.494995,24.9673004,73.289299
229,126.720001,24.3547993,72.2219009
230,126.495003,24.8241997,74.294899
231,154.065994,52.9602013,86.2155991
232,108.987,28.5333996,81.8634033
233,117.441002,104.861,95.8422012
234,88.8862,58.2467995,99.5995026
235,103.598999,20.7507,65.3510971
236,99.3843994,71.1744995,103.442001
237,126.910004,61.6646004,104.843002
238,155.552002,77.6975021,91.3798981
239,146.585999,79.9688034,95.9197998
240,113.538002,81.5083008,104.494003
241,91.0024033,55.7290001,98.9577026
242,116.524002,37.030201,92.6136017
243,131.964005,32.0003014,83.358902
244,96.5009995,59.3278008,101.783997
