,front 0 x,front 0 y,front 0 z,front 1 x,front 1 y,front 1 z,init x,init y,init z,dist btw frts,crack len,linearity,height,x,y,z
0,111.38764492992858,70.29408290866427,105.41141689692857,128.3419952392578,41.92559814453125,95.62139892578125,128.3419952392578,41.92559814453125,95.62139892578125,34.46832421368475,144.27321758222254,0.42726158944047893,1.5,0.6502878401571168,0.0,-0.7596879128588213
1,166.52831928214286,63.8492378688,74.2671116797,166.8780059814453,64.72779846191406,78.9395980834961,166.8780059814453,64.72779846191406,78.9395980834961,4.767208690324075,25.31085776210254,0.18311299438459253,1.5,-0.2913768240640271,0.5813551594804753,-0.7596879128588213
2,133.6617551479091,51.11142966115454,97.84140586890908,141.47900390625,64.11219787597656,101.58599853515625,141.47900390625,64.11219787597656,101.58599853515625,15.625342446212851,69.9672662278136,0.1757090554626299,1.5,0.7782685005149227,0.608690916076322,0.15425144988758405
3,127.70583942383332,55.13175265536666,102.76391023966666,124.21800231933594,60.51350021362305,106.94999694824219,124.21800231933594,60.51350021362305,106.94999694824219,7.658429106547896,98.93439795804804,0.0778071814295852,1.5,-0.9726004974111332,0.17393896240691603,0.15425144988758405
4,118.56484288092858,43.28050358465713,95.98808158484287,123.97403384649999,36.427248113670004,91.11365990013,109.49199676513672,31.17970085144043,89.26139831542969,9.999322187680196,36.89832076621356,0.8508074625132529,1.5,0.32528519851184945,-0.27844198333936065,-0.9036922050915067
5,155.28740608566667,37.022956903949996,61.21203866846667,131.2259979248047,46.89059829711914,98.45909881591797,131.2259979248047,46.89059829711914,98.45909881591797,45.42758191864977,150.7852081977004,0.37991645449181305,1.5,0.3040673148127055,0.6802475211142742,-0.6669380616522619
6,135.20836093545452,57.22968769858182,100.87577598424545,139.58799743652344,78.64969635009766,101.65299987792969,139.58799743652344,78.64969635009766,101.65299987792969,21.876975647776867,58.04270802140679,0.3797623529885225,1.5,0.2050577983387307,-0.8258257124872399,0.5253219888177297
7,133.43111677261538,57.96462579246155,101.926315281,138.8419952392578,80.11219787597656,101.72100067138672,138.8419952392578,80.11219787597656,101.72100067138672,22.79988397041066,59.17382488507825,0.38523059449580715,1.5,-0.06322927134357746,0.2546421471428449,0.9649660284921133
8,128.49486089908333,53.866537202875,101.97959946191668,119.37300109863281,76.8635025024414,107.947998046875,119.37300109863281,76.8635025024414,107.947998046875,25.449764652693137,63.67004289742643,0.40595350719334256,1.5,0.1915845851565503,-0.17926491733339947,0.9649660284921133
9,116.4629211598889,19.039861282222223,60.92037329828889,130.92300415039062,43.093299865722656,95.70220184326172,130.92300415039062,43.093299865722656,95.70220184326172,44.69270079906015,138.40299279586296,0.2551844207257487,1.5,-0.5622912291815885,-0.8266432000825884,0.022126756261955736
10,132.277128603875,44.1590390612625,93.998725733025,129.66736588799998,47.85478696695,97.049840952575,133.27499389648438,44.52470016479492,95.55989837646484,5.456988006083086,8.259273562098791,0.8442406887052051,1.0,0.0,0.0,1.0
11,139.1532551822222,48.99955645363333,94.40262498885556,166.8780059814453,64.72779846191406,78.9395980834961,166.8780059814453,64.72779846191406,78.9395980834961,35.428020049474114,39.420145986666036,0.8773910279342231,1.0,-0.38917130572791353,-0.5209798171275339,-0.7596879128588213
12,133.842882122875,44.97747595198751,93.92204805345,131.3478943154,46.00862490581,95.30295629584,133.27499389648438,44.52470016479492,95.55989837646484,3.0323489077477306,4.237427729171413,1.0,1.0,0.6401316125664612,-0.11448053829917947,-0.7596879128588213
13,160.58674810840003,53.296256254519996,80.49651737952,166.8780059814453,64.72779846191406,78.9395980834961,166.8780059814453,64.72779846191406,78.9395980834961,13.140931495100256,19.944607399416064,0.5754031515211077,1.0,0.5912974739859618,0.7915641398303734,0.15425144988758405
14,135.64525966876926,58.68947201366924,101.27131659247692,139.58799743652344,78.64969635009766,101.65299987792969,139.58799743652344,78.64969635009766,101.65299987792969,20.3494820277131,56.485310684454646,0.36560112344948176,1.0,0.2050577983387307,-0.8258257124872399,0.5253219888177297
